,시군명,식당,식당_영문명,최후의음식,위도,경도
2524,이천시,독도볼태기,dogdoboltaegi,매운탕,37.2977663,127.4396277
2525,이천시,"원할머니보쌈, 족발","wonhalmeonibossam, jogbal","보쌈, 족발",37.2797171,127.4449583
2526,이천시,2한식,2hansig,불고기,37.2405296,127.3888534
2527,이천시,청학동 한정식,cheonghagdong hanjeongsig,제육볶음,37.2825785,127.4851855
2528,이천시,이천쌀초밥,icheonssalchobab,0,37.2970742,127.4114055
2529,이천시,도드람테마파크 바베큐하우스,dodeulamtemapakeu babekyuhauseu,삼겹살,37.2412767,127.502323
2530,이천시,장지리가마솥해장국,jangjiligamasothaejang-gug,0,37.2768877,127.4592613
2531,이천시,거궁,geogung,불고기,37.2998778,127.4057136
2532,이천시,임금님표이천한우 안흥갈산점,imgeumnimpyoicheonhan-u anheung-galsanjeom,갈비구이,37.2808273,127.4563759
2533,이천시,평창약수송어회,pyeongchang-yagsusong-eohoe,0,37.2884412,127.4515499
2534,이천시,백사염소요리전문점,baegsayeomsoyolijeonmunjeom,0,37.3263529,127.4799818
2535,이천시,평창송정약수송어회집,pyeongchangsongjeong-yagsusong-eohoejib,매운탕,37.2917742,127.4445777
2536,이천시,두원전통육계장,duwonjeontong-yuggyejang,0,37.2807177,127.4496323
2537,이천시,붐디야다,bumdiyada,삼겹살,37.2783861,127.4442965
2538,이천시,나귀당귀,nagwidang-gwi,0,37.276301,127.4404621
2539,이천시,이천한우,icheonhan-u,갈비구이,37.286997,127.4498499
2540,이천시,포항이야기,pohang-iyagi,0,37.279688,127.4479349
2541,이천시,가마솥보리밥집,gamasotbolibabjib,제육볶음,37.2474717,127.3734364
2542,이천시,엄지장수촌,eomjijangsuchon,삼계탕,37.2313042,127.3686133
2543,이천시,단골,dangol,갈비구이,37.2806573,127.4966182
2544,이천시,은혜프라미스,eunhyepeulamiseu,0,37.2811349,127.4392384
2545,이천시,마장들밥,majangdeulbab,제육볶음,37.2213589,127.3679456
2546,이천시,민속식당이천쌀밥집,minsogsigdang-icheonssalbabjib,제육볶음,37.2361061,127.3658868
2547,이천시,스낵.우동.국수,seunaeg.udong.gugsu,0,37.2937444,127.3775203
2548,파주시,목우촌마을 파주광탄점,mog-uchonma-eul pajugwangtanjeom,갈비구이,37.7756779,126.9069121
2549,파주시,금촌화로구이,geumchonhwalogu-i,갈비구이,37.760343,126.7660427
2550,파주시,스테이크갤러리,seuteikeugaelleoli,0,37.751118,126.7664012
2551,파주시,문산밤나무골,munsanbamnamugol,삼계탕,37.8524369,126.7942907
2552,파주시,본가 파주금촌점,bonga pajugeumchonjeom,갈비구이,37.7579781,126.7729044
2553,파주시,산내음,sannaeeum,0,37.7843643,126.6896923
2554,파주시,신성아구찜,sinseong-agujjim,0,37.7895573,126.6876269
2555,파주시,옛날시골밥상,yesnalsigolbabsang,제육볶음,37.7938327,126.6861101
2556,파주시,오이시,oisi,0,37.7585318,126.7750361
2557,파주시,통일동산두부마을,tong-ildongsandubuma-eul,0,37.7829744,126.6887673
2558,파주시,흔적,heunjeog,0,37.7894155,126.6851639
2559,파주시,청담순대국,cheongdamsundaegug,0,37.719599,126.7515979
2560,파주시,꼿그이,kkosgeu-i,0,37.7252071,126.6997418
2561,파주시,나정순할매쭈꾸미,najeongsunhalmaejjukkumi,주꾸미볶음,37.7282863,126.7169372
2562,파주시,농부의식탁,nongbuuisigtag,0,37.7891696,126.6978005
2563,파주시,덕성원,deogseong-won,"짜장면, 짬뽕",37.7630324,126.7728774
2564,파주시,도라산식당,dolasansigdang,불고기,37.8987662,126.7110717
2565,파주시,돈까스클럽,donkkaseukeulleob,0,37.7264568,126.6987158
2566,파주시,라치오 비.엘,lachio bi.el,피자,37.7874774,126.6881352
2567,파주시,명품설농탕,myeongpumseolnongtang,곰탕_설렁탕,37.767171,126.7792315
2568,파주시,민바리매운탕,minbalimaeuntang,매운탕,37.7228738,126.6963259
2569,파주시,복청,bogcheong,0,37.7731737,126.7902573
2570,파주시,본가(파주운정점),bonga(pajuunjeongjeom),0,37.7195985,126.7513824
2571,파주시,봉참치,bongchamchi,0,37.744203,126.8081758
2572,파주시,봉평메밀,bongpyeongmemil,막국수,37.8218301,126.7475945
2573,파주시,상해,sanghae,"짜장면, 짬뽕",37.7262285,126.7010194
2574,파주시,솔덕능이백숙전문점,soldeogneung-ibaegsugjeonmunjeom,삼계탕,37.7055436,126.7121824
2575,파주시,승잠원,seungjam-won,갈비찜,37.8505563,126.8878062
2576,파주시,아구나라,agunala,0,37.7438979,126.8035135
2577,파주시,옛날밥집,yesnalbabjib,0,37.7759481,126.918637
2578,파주시,오두산막국수(통일로직영점),odusanmaggugsu(tong-illojig-yeongjeom),막국수,37.7791671,126.686797
2579,파주시,오백년누룽지백숙,obaegnyeonnulungjibaegsug,삼계탕,37.7924443,126.6857754
2580,파주시,용해물탕,yonghaemultang,0,37.7583419,126.7746849
2581,파주시,운정갈비,unjeong-galbi,갈비구이,37.7330392,126.7506223
2582,파주시,유가원설렁탕,yugawonseolleongtang,곰탕_설렁탕,37.7370092,126.7176297
2583,파주시,유일곰탕,yuilgomtang,곰탕_설렁탕,37.7952484,126.791091
2584,파주시,장단가든,jangdangadeun,0,37.8859606,126.7942303
2585,파주시,장수누룽지백숙&명품장어,jangsunulungjibaegsug&myeongpumjang-eo,장어구이,37.7864985,126.6892973
2586,파주시,전망대누룽지삼계탕,jeonmangdaenulungjisamgyetang,삼계탕,37.8035293,126.6870225
2587,파주시,㈜이바돔감자탕운정점,(ju)ibadomgamjatang-unjeongjeom,감자탕,37.7137332,126.7599308
2588,파주시,진미식당,jinmisigdang,장어구이,37.9449588,126.8373631
2589,파주시,착한낙지,chaghannagji,산낙지,37.848748,126.792006
2590,파주시,"초계탕,춘천막국수","chogyetang,chuncheonmaggugsu",삼계탕,37.8510263,126.8893621
2591,파주시,콩밭 뜰,kongbat tteul,제육볶음,37.7888081,126.6871078
2592,파주시,한식당임진각,hansigdang-imjingag,0,37.8892665,126.7400181
2593,파주시,황금코다리,hwang-geumkodali,0,37.7865571,126.6909885
2594,파주시,(주)반구정나루터,(ju)bangujeongnaluteo,장어구이,37.8682459,126.7515372
2595,파주시,ADAMAS(아다마스)253,ADAMAS(adamaseu)253,피자,37.7876655,126.6979656
